event_id,storm,CountyFIPS,t90,t90_censored,max_gust,mean_gust_7d,total_precip_7d,pressure_min_7d,max_customers_tracked,county_pop,event_start,min_dist_to_storm_km,matched_ibtracs_storm,storm_max_wind_center_in_conus_mps,storm_max_wind_near_conus_mps,year,county_gdp_real_2017_dollars,county_gdp_real_2017_per_capita
2017242N16333_2017-09-11 00:00:00,2017242N16333,12103,160.12296022437528,0,43.06226785026151,9.404027970930589,151.04290168704134,975.1239532830944,543895.0,961739,2017-09-11 00:00:00,59.81471176922959,2017242N16333,59.16106,59.16106,2017,48499271000.0,50428.72442523387
2017242N16333_2017-09-11 00:00:00,2017242N16333,12117,170.77504760177695,0,39.111801124271295,8.3751292106539,105.16330691784802,982.7114677526596,211093.0,478772,2017-09-11 00:00:00,110.25059841721524,2017242N16333,59.16106,59.16106,2017,20979506000.0,43819.408820900135
2017242N16333_2017-09-11 01:00:00,2017242N16333,12023,114.51003861003834,0,32.87210430150099,7.9906483990071635,205.68063264035155,981.6870075847592,32513.0,71908,2017-09-11 01:00:00,43.33569824252138,2017242N16333,59.16106,59.16106,2017,2136953000.0,29717.875618846305
2017242N16333_2017-09-11 01:00:00,2017242N16333,12083,170.8450316502281,0,34.11790983244758,7.880155841033531,145.78067060587546,977.174596322056,138867.0,396415,2017-09-11 01:00:00,49.04177126595889,2017242N16333,59.16106,59.16106,2017,9763722000.0,24630.051839612526
2017242N16333_2017-09-11 01:00:00,2017242N16333,12095,125.77988229494028,0,42.50166494858325,8.438115913173633,110.70856601280632,981.2734645100504,496230.0,1452726,2017-09-11 01:00:00,93.10165222356326,2017242N16333,59.16106,59.16106,2017,95077001000.0,65447.30458462229
2017242N16333_2017-09-11 01:00:00,2017242N16333,12097,115.8667057444314,0,43.1111639458869,8.59143024477589,108.4173563652284,981.3335810396212,72696.0,422545,2017-09-11 01:00:00,98.51648127990364,2017242N16333,59.16106,59.16106,2017,10505768000.0,24863.07493876392
2017242N16333_2017-09-11 01:00:00,2017242N16333,12101,123.22296914803276,0,41.70996387439667,8.468801712012205,150.1088411087852,972.7591256119948,266355.0,608794,2017-09-11 01:00:00,22.67797848781874,2017242N16333,59.16106,59.16106,2017,12596629000.0,20691.118834942525
2017242N16333_2017-09-11 01:00:00,2017242N16333,12121,143.33488372093,0,33.1387630368388,7.779667440071654,179.90478663637606,982.2636305414244,21816.0,45411,2017-09-11 01:00:00,11.779371484663768,2017242N16333,59.16106,59.16106,2017,1217082000.0,26801.479817665324
2017242N16333_2017-09-11 01:00:00,2017242N16333,12127,160.34128586609972,0,36.8481420062967,8.836308807389246,107.73642242868152,984.5824931312546,261351.0,579192,2017-09-11 01:00:00,122.64396814599311,2017242N16333,59.16106,59.16106,2017,17886662000.0,30882.094365944282
2017242N16333_2017-09-11 02:00:00,2017242N16333,12123,124.71715296198028,0,34.09334099879031,8.81434055505948,121.74696566147702,985.838708247951,12739.0,21283,2017-09-11 02:00:00,57.47333600831199,2017242N16333,59.16106,59.16106,2017,759467000.0,35684.208053375936
