event_start,CountyFIPS,county_pop,pre_outage_tracked_customers,days_since_data_start,duration_hours,n_periods,integral,pop_hours_supply_lost,storm,duration_days,year,month,event_id
2017-09-10 16:00:00,13199,20845,1333.0,252.625,95,95,22.0495713210697,459623.314187697,2017242N16333,3.95833333333333,2017,9,13199_2017-09-10 16:00:00
2017-09-10 17:00:00,13061,2845,1564.0,252.666666666667,76,76,22.095019901636,62860.3316201544,2017242N16333,3.16666666666667,2017,9,13061_2017-09-10 17:00:00
2017-09-10 17:00:00,13171,19467,2542.0,252.666666666667,138,138,38.8380165630381,756059.668432663,2017242N16333,5.75,2017,9,13171_2017-09-10 17:00:00
2017-09-10 18:00:00,12129,35178,15461.0,252.708333333333,107,107,23.0348909932965,810321.395362186,2017242N16333,4.45833333333333,2017,9,12129_2017-09-10 18:00:00
2017-09-10 18:00:00,12107,74731,20133.0,252.708333333333,207,207,79.228861602759,5920852.05643578,2017242N16333,8.625,2017,9,12107_2017-09-10 18:00:00
2017-09-10 19:00:00,12041,18992,4797.0,252.75,173,173,64.3622175053202,1222367.23486104,2017242N16333,7.20833333333333,2017,9,12041_2017-09-10 19:00:00
2017-09-10 21:00:00,12049,25645,2812.0,252.833333333333,175,175,87.4002236755517,2241378.73615952,2017242N16333,7.29166666666667,2017,9,12049_2017-09-10 21:00:00
2017-09-10 22:00:00,12055,105618,54806.0,252.875,219,219,142.440173938316,15044246.291017,2017242N16333,9.125,2017,9,12055_2017-09-10 22:00:00
2017-09-10 22:00:00,12029,17124,1806.0,252.875,167,167,73.5574367956428,1259597.54768859,2017242N16333,6.95833333333333,2017,9,12029_2017-09-10 22:00:00
2017-09-10 23:00:00,12105,787404,106169.0,252.916666666667,192,192,43.4272046678154,34194754.6642565,2017242N16333,8.0,2017,9,12105_2017-09-10 23:00:00
2017-09-11 00:00:00,12035,126705,58355.0,252.958333333333,190,190,67.5772757488715,8562378.72376077,2017242N16333,7.91666666666667,2017,9,12035_2017-09-11 00:00:00
2017-09-11 00:00:00,12015,202661,114552.0,252.958333333333,188,188,47.885063010151,9704434.75470022,2017242N16333,7.83333333333333,2017,9,12015_2017-09-11 00:00:00
2017-09-11 00:00:00,12103,961739,541750.0,252.958333333333,168,168,68.8142949131587,66181391.1754863,2017242N16333,7.0,2017,9,12103_2017-09-11 00:00:00
2017-09-11 00:00:00,12071,822453,260826.0,252.958333333333,240,240,97.1921323929368,79935960.862968,2017242N16333,10.0,2017,9,12071_2017-09-11 00:00:00
2017-09-11 00:00:00,12085,162006,94195.0,252.958333333333,116,116,48.1410629919414,7799141.05107246,2017242N16333,4.83333333333333,2017,9,12085_2017-09-11 00:00:00
2017-09-11 00:00:00,12117,478772,211093.0,252.958333333333,191,191,69.9670086461089,33498244.6635148,2017242N16333,7.95833333333333,2017,9,12117_2017-09-11 00:00:00
2017-09-11 01:00:00,13025,18183,1766.0,253.0,92,92,33.0695602116786,601303.813328953,2017242N16333,3.83333333333333,2017,9,13025_2017-09-11 01:00:00
2017-09-11 01:00:00,12121,45411,6348.0,253.0,161,161,73.9047928518712,3356090.54819632,2017242N16333,6.70833333333333,2017,9,12121_2017-09-11 01:00:00
2017-09-11 01:00:00,12095,1452726,382514.0,253.0,173,173,52.8478404184892,76773431.8197902,2017242N16333,7.20833333333333,2017,9,12095_2017-09-11 01:00:00
2017-09-11 01:00:00,12023,71908,31282.0,253.0,168,168,55.834276090648,4014931.12512632,2017242N16333,7.0,2017,9,12023_2017-09-11 01:00:00
2017-09-11 01:00:00,12097,422545,50236.0,253.0,160,160,31.2744575033316,13214865.6457453,2017242N16333,6.66666666666667,2017,9,12097_2017-09-11 01:00:00
2017-09-11 01:00:00,13101,3686,639.0,253.0,109,109,67.830985915493,250025.014084507,2017242N16333,4.54166666666667,2017,9,13101_2017-09-11 01:00:00
2017-09-11 01:00:00,13229,20168,4101.0,253.0,72,72,26.3660083105748,531749.655607673,2017242N16333,3.0,2017,9,13229_2017-09-11 01:00:00
2017-09-11 01:00:00,12127,579192,261351.0,253.0,187,187,65.9369437972425,38190150.3518125,2017242N16333,7.79166666666667,2017,9,12127_2017-09-11 01:00:00
2017-09-11 01:00:00,12101,608794,250797.0,253.0,136,136,41.7020677359474,25387968.6252383,2017242N16333,5.66666666666667,2017,9,12101_2017-09-11 01:00:00
2017-09-11 01:00:00,12083,396415,138863.0,253.0,197,197,70.672581490682,28015671.3916287,2017242N16333,8.20833333333333,2017,9,12083_2017-09-11 01:00:00
2017-09-11 02:00:00,12123,21283,1604.0,253.041666666667,135,135,45.961315901204,978194.686325324,2017242N16333,5.625,2017,9,12123_2017-09-11 02:00:00
2017-09-11 03:00:00,12069,410139,149938.0,253.083333333333,207,207,60.752518202616,24916977.0631027,2017242N16333,8.625,2017,9,12069_2017-09-11 03:00:00
2017-09-11 03:00:00,12047,13217,3302.0,253.083333333333,145,145,60.7836148143837,803377.03700171,2017242N16333,6.04166666666667,2017,9,12047_2017-09-11 03:00:00
2017-09-11 03:00:00,12017,162529,87665.0,253.083333333333,168,168,59.5509419809906,9678755.04922842,2017242N16333,7.0,2017,9,12017_2017-09-11 03:00:00
2017-09-11 03:00:00,12109,306841,106680.0,253.083333333333,163,163,48.7164072609951,14948191.120371,2017242N16333,6.79166666666667,2017,9,12109_2017-09-11 03:00:00
2017-09-11 03:00:00,12001,284030,120032.0,253.083333333333,134,134,29.2629568023201,8311557.62056297,2017242N16333,5.58333333333333,2017,9,12001_2017-09-11 03:00:00
2017-09-11 04:00:00,12019,226589,83949.0,253.125,133,133,38.1403132085061,8642175.42960219,2017242N16333,5.54166666666667,2017,9,12019_2017-09-11 04:00:00
2017-09-11 04:00:00,13039,57013,15790.0,253.125,119,119,53.2059394225794,3033430.22429952,2017242N16333,4.95833333333333,2017,9,13039_2017-09-11 04:00:00
2017-09-11 04:00:00,12119,144970,71787.0,253.125,154,154,25.9524392164142,3762325.11320357,2017242N16333,6.41666666666667,2017,9,12119_2017-09-11 04:00:00
2017-09-11 04:00:00,12053,206896,94931.0,253.125,161,161,35.6024426210731,7366002.96852954,2017242N16333,6.70833333333333,2017,9,12053_2017-09-11 04:00:00
2017-09-11 05:00:00,12007,27313,9842.0,253.166666666667,165,165,67.3680106754015,1840022.47557724,2017242N16333,6.875,2017,9,12007_2017-09-11 05:00:00
2017-09-11 05:00:00,12031,1016536,441262.0,253.166666666667,114,114,29.6208022314269,30110611.8171258,2017242N16333,4.75,2017,9,12031_2017-09-11 05:00:00
2017-09-11 06:00:00,13049,12781,2565.0,253.208333333333,110,110,53.2384569068619,680440.717726602,2017242N16333,4.58333333333333,2017,9,13049_2017-09-11 06:00:00
2017-09-11 06:00:00,13275,45561,2814.0,253.208333333333,63,63,20.5906301737732,938129.701347279,2017242N16333,2.625,2017,9,13275_2017-09-11 06:00:00
2017-09-11 07:00:00,12003,27803,9130.0,253.25,162,162,63.8119362130248,1774163.26253073,2017242N16333,6.75,2017,9,12003_2017-09-11 07:00:00
2017-09-11 07:00:00,12073,297369,24516.0,253.25,60,60,17.2734090825562,5136576.38547066,2017242N16333,2.5,2017,9,12073_2017-09-11 07:00:00
2017-09-11 07:00:00,13005,11191,2215.0,253.25,65,65,18.2074324532662,203759.376584502,2017242N16333,2.70833333333333,2017,9,13005_2017-09-11 07:00:00
2017-09-11 08:00:00,13161,14889,2638.0,253.291666666667,101,101,42.1348036304982,627345.091254488,2017242N16333,4.20833333333333,2017,9,13161_2017-09-11 08:00:00
2017-09-11 08:00:00,13001,18428,3816.0,253.291666666667,100,100,39.0010910025397,718712.104994802,2017242N16333,4.16666666666667,2017,9,13001_2017-09-11 08:00:00
2017-09-11 08:00:00,12039,43403,14999.0,253.291666666667,60,60,21.3854902216648,928194.432090917,2017242N16333,2.5,2017,9,12039_2017-09-11 08:00:00
2017-09-11 09:00:00,13027,16253,922.0,253.333333333333,89,89,55.4066484354277,900524.257021007,2017242N16333,3.70833333333333,2017,9,13027_2017-09-11 09:00:00
2017-09-11 09:00:00,13003,8183,2563.0,253.333333333333,109,109,49.0591194378219,401450.774359696,2017242N16333,4.54166666666667,2017,9,13003_2017-09-11 09:00:00
2017-09-11 09:00:00,13069,43172,3424.0,253.333333333333,109,109,56.1052968465539,2422177.87545943,2017242N16333,4.54166666666667,2017,9,13069_2017-09-11 09:00:00
2017-09-11 10:00:00,13293,28086,9585.0,253.375,68,68,14.3618570150057,403367.116123451,2017242N16333,2.83333333333333,2017,9,13293_2017-09-11 10:00:00
2017-09-11 10:00:00,13243,6116,2937.0,253.375,43,43,8.14499003709964,49814.7590669014,2017242N16333,1.79166666666667,2017,9,13243_2017-09-11 10:00:00
2017-09-11 10:00:00,13079,12140,1141.0,253.375,100,100,41.0396485173797,498221.33300099,2017242N16333,4.16666666666667,2017,9,13079_2017-09-11 10:00:00
2017-09-11 10:00:00,13201,5807,1177.0,253.375,54,54,3.62786745964316,21067.0263381478,2017242N16333,2.25,2017,9,13201_2017-09-11 10:00:00
2017-09-11 10:00:00,12077,7603,3302.0,253.375,30,30,10.2101756511205,77627.9654754694,2017242N16333,1.25,2017,9,12077_2017-09-11 10:00:00
2017-09-11 10:00:00,13159,15951,1043.5,253.375,112,112,52.8694380304858,843320.406024279,2017242N16333,4.66666666666667,2017,9,13159_2017-09-11 10:00:00
2017-09-11 10:00:00,13255,68919,3464.0,253.375,82,82,27.5837205013971,1901042.43323579,2017242N16333,3.41666666666667,2017,9,13255_2017-09-11 10:00:00
2017-09-11 11:00:00,13173,10171,1737.0,253.416666666667,91,91,29.4289004029937,299321.345998849,2017242N16333,3.79166666666667,2017,9,13173_2017-09-11 11:00:00
2017-09-11 11:00:00,13307,2328,469.0,253.416666666667,58,58,25.0767643314275,58378.7073635632,2017242N16333,2.41666666666667,2017,9,13307_2017-09-11 11:00:00
2017-09-11 11:00:00,13309,7314,840.0,253.416666666667,101,101,26.6416666666667,194857.15,2017242N16333,4.20833333333333,2017,9,13309_2017-09-11 11:00:00
2017-09-11 11:00:00,13131,26008,9045.0,253.416666666667,39,39,12.6201496091413,328224.851034548,2017242N16333,1.625,2017,9,13131_2017-09-11 11:00:00
2017-09-11 11:00:00,13065,6662,1715.0,253.416666666667,87,87,48.5580174927114,323493.512536443,2017242N16333,3.625,2017,9,13065_2017-09-11 11:00:00
2017-09-11 11:00:00,13019,18214,3864.0,253.416666666667,62,62,23.1322463768116,421330.735507246,2017242N16333,2.58333333333333,2017,9,13019_2017-09-11 11:00:00
2017-09-11 11:00:00,13259,4648,1350.0,253.416666666667,94,94,11.672291179458,54252.8094021209,2017242N16333,3.91666666666667,2017,9,13259_2017-09-11 11:00:00
2017-09-11 11:00:00,13087,28982,13485.0,253.416666666667,60,60,8.24739629354091,239026.039379403,2017242N16333,2.5,2017,9,13087_2017-09-11 11:00:00
2017-09-11 12:00:00,13249,4496,608.0,253.458333333333,82,82,34.760491920782,156283.171675836,2017242N16333,3.41666666666667,2017,9,13249_2017-09-11 12:00:00
2017-09-11 12:00:00,13075,17404,1566.0,253.458333333333,87,87,36.360153256705,632812.107279693,2017242N16333,3.625,2017,9,13075_2017-09-11 12:00:00
