event_id,CountyFIPS,storm,event_start,event_end,duration_hours,max_outage,hours_above_thresh,n_ts_points,reason
28143_2020-08-30 16:00:00,28143,2020233N14313,2020-08-30 16:00:00,2020-08-31 16:00:00,24.0,0.26638005159071365,2,48,invalid_event
21077_2020-09-01 06:00:00,21077,2020233N14313,2020-09-01 06:00:00,2020-09-03 09:00:00,51.0,0.08866371120962635,0,75,invalid_event
22047_2020-08-26 00:00:00,22047,2020234N14280,2020-08-26 00:00:00,2020-08-27 23:00:00,47.0,0.12582200789127576,0,71,invalid_event
37165_2020-09-11 03:00:00,37165,2020256N25281,2020-09-11 03:00:00,2020-09-12 06:00:00,27.0,0.10865813317992233,0,51,invalid_event
12013_2020-09-12 22:00:00,12013,2020256N25281,2020-09-12 22:00:00,2020-09-17 14:00:00,112.0,0.1825346112886049,4,136,invalid_event
13145_2020-09-16 06:00:00,13145,2020256N25281,2020-09-16 06:00:00,2020-09-17 15:00:00,33.0,0.07864169728576509,0,57,invalid_event
01131_2020-09-16 14:00:00,01131,2020256N25281,2020-09-16 14:00:00,2020-09-19 17:00:00,75.0,0.4027889084789229,3,99,invalid_event
01041_2020-09-16 17:00:00,01041,2020256N25281,2020-09-16 17:00:00,2020-09-17 20:00:00,27.0,0.12944101371401073,0,51,invalid_event
13193_2020-09-17 11:00:00,13193,2020256N25281,2020-09-17 11:00:00,2020-09-19 00:00:00,37.0,0.11760894216750364,0,61,invalid_event
13317_2020-09-18 17:00:00,13317,2020256N25281,2020-09-18 17:00:00,2020-09-19 21:00:00,28.0,0.05548216644649934,0,52,invalid_event
22053_2020-09-19 18:00:00,22053,2020261N21265,2020-09-19 18:00:00,2020-09-21 19:00:00,49.0,0.07842824055586614,0,73,invalid_event
22085_2020-09-21 18:00:00,22085,2020261N21265,2020-09-21 18:00:00,2020-09-23 19:00:00,49.0,0.06904909881914233,0,73,invalid_event
28081_2020-10-09 06:00:00,28081,2020279N16284,2020-10-09 06:00:00,2020-10-10 06:00:00,24.0,0.09758613575407468,0,48,invalid_event
47171_2020-10-26 21:00:00,47171,2020299N18277,2020-10-26 21:00:00,2020-10-28 17:00:00,44.0,0.05628140703517588,0,68,invalid_event
22077_2020-10-27 11:00:00,22077,2020299N18277,2020-10-27 11:00:00,2020-10-29 02:00:00,39.0,0.15472216768113095,1,63,invalid_event
28065_2020-10-27 14:00:00,28065,2020299N18277,2020-10-27 14:00:00,2020-10-29 05:00:00,39.0,0.058793650793650794,0,63,invalid_event
45021_2020-10-28 00:00:00,45021,2020299N18277,2020-10-28 00:00:00,2020-10-30 01:00:00,49.0,0.11390700610140964,0,73,invalid_event
37037_2020-10-28 16:00:00,37037,2020299N18277,2020-10-28 16:00:00,2020-10-30 02:00:00,34.0,0.4301568719269492,4,58,invalid_event
13063_2020-10-29 09:00:00,13063,2020299N18277,2020-10-29 09:00:00,2020-10-31 02:00:00,41.0,0.13574484957623617,0,65,invalid_event
13013_2020-10-29 10:00:00,13013,2020299N18277,2020-10-29 10:00:00,2020-10-30 12:00:00,26.0,0.10472556501320811,0,50,invalid_event
13297_2020-10-29 10:00:00,13297,2020299N18277,2020-10-29 10:00:00,2020-10-30 22:00:00,36.0,0.16339699074074074,2,60,invalid_event
13195_2020-10-29 11:00:00,13195,2020299N18277,2020-10-29 11:00:00,2020-10-30 13:00:00,26.0,0.27896095514682157,2,50,invalid_event
45007_2020-10-29 13:00:00,45007,2020299N18277,2020-10-29 13:00:00,2020-10-30 19:00:00,30.0,0.1445196211096076,0,54,invalid_event
01055_2020-10-29 14:00:00,01055,2020299N18277,2020-10-29 14:00:00,2020-10-30 15:00:00,25.0,0.18771808699221884,4,49,invalid_event
37109_2020-10-29 14:00:00,37109,2020299N18277,2020-10-29 14:00:00,2020-10-30 17:00:00,27.0,0.22168361941089212,4,51,invalid_event
37081_2020-10-29 16:00:00,37081,2020299N18277,2020-10-29 16:00:00,2020-10-30 16:00:00,24.0,0.18210537368351373,4,48,invalid_event
37193_2020-10-29 16:00:00,37193,2020299N18277,2020-10-29 16:00:00,2020-10-30 18:00:00,26.0,0.1001865174527045,0,50,invalid_event
13265_2020-10-30 10:00:00,13265,2020299N18277,2020-10-30 10:00:00,2020-10-31 12:00:00,26.0,0.07655954631379962,0,50,invalid_event
01131_2021-06-19 16:00:00,01131,2021169N23268,2021-06-19 16:00:00,2021-06-21 18:00:00,50.0,0.11054216867469879,0,74,invalid_event
13123_2021-06-20 07:00:00,13123,2021169N23268,2021-06-20 07:00:00,2021-06-22 13:00:00,54.0,0.14337220438285167,0,78,invalid_event
47139_2021-06-20 07:00:00,47139,2021169N23268,2021-06-20 07:00:00,2021-06-22 05:00:00,46.0,0.23491964099352952,1,70,invalid_event
01057_2021-06-22 09:00:00,01057,2021169N23268,2021-06-22 09:00:00,2021-06-23 23:00:00,38.0,0.07812940182176731,0,62,invalid_event
12051_2021-07-04 07:00:00,12051,2021182N09317,2021-07-04 07:00:00,2021-07-05 22:00:00,39.0,0.19552484369858505,1,63,invalid_event
34041_2021-07-07 00:00:00,34041,2021182N09317,2021-07-07 00:00:00,2021-07-09 03:00:00,51.0,0.16566172517090405,4,75,invalid_event
45029_2021-07-08 07:00:00,45029,2021182N09317,2021-07-08 07:00:00,2021-07-10 09:00:00,50.0,0.16449048070610547,2,74,invalid_event
51093_2021-07-09 02:00:00,51093,2021182N09317,2021-07-09 02:00:00,2021-07-10 20:00:00,42.0,0.09552748378286105,0,66,invalid_event
37149_2021-07-09 20:00:00,37149,2021182N09317,2021-07-09 20:00:00,2021-07-11 15:00:00,43.0,0.05412712718019403,0,67,invalid_event
13207_2021-07-09 23:00:00,13207,2021182N09317,2021-07-09 23:00:00,2021-07-11 05:00:00,30.0,0.10966168850960073,0,54,invalid_event
13087_2021-08-15 06:00:00,13087,2021222N14301,2021-08-15 06:00:00,2021-08-17 02:00:00,44.0,0.1811136039159698,1,68,invalid_event
39015_2021-08-16 14:00:00,39015,2021222N14301,2021-08-16 14:00:00,2021-08-17 22:00:00,32.0,0.05371900826446281,0,56,invalid_event
13317_2021-08-16 16:00:00,13317,2021222N14301,2021-08-16 16:00:00,2021-08-17 22:00:00,30.0,0.35468956406869223,1,54,invalid_event
39105_2021-08-17 17:00:00,39105,2021222N14301,2021-08-17 17:00:00,2021-08-18 19:00:00,26.0,0.07986688851913477,0,50,invalid_event
21159_2021-08-18 02:00:00,21159,2021222N14301,2021-08-18 02:00:00,2021-08-20 07:00:00,53.0,0.0736671469740634,0,77,invalid_event
54005_2021-08-18 05:00:00,54005,2021222N14301,2021-08-18 05:00:00,2021-08-20 01:00:00,44.0,0.16219734444155168,3,68,invalid_event
54085_2021-08-18 12:00:00,54085,2021222N14301,2021-08-18 12:00:00,2021-08-20 19:00:00,55.0,0.14213663457129758,0,79,invalid_event
