event_id,storm,CountyFIPS,county,event_start,duration_hours,county_pop,pre_outage_tracked_customers,days_since_data_start,n_periods,integral,pop_hours_supply_lost,duration_days,year,month,max_gust,mean_gust_7d,total_precip_7d,pressure_min_7d,weather_hours_available,weather_hours_used,t90_lastcross,censored_lastcross,crossing_time_lastcross,t50,t50_censored,peak_outage_clean,threshold_used_t90,threshold_used_t50,crossing_time_t50,t90,t90_censored
12071_2017-09-11 00:00:00,2017242N16333,12071,Lee,2017-09-11 00:00:00,240,822453,260826.0,252.958333333333,240,97.1921323929368,79935960.862968,10.0,2017,9,39.95001785627758,8.662563909163712,154.57914812147516,967.6371055317004,264,168,216.4818116462975,0,2017-09-20 00:28:54.521926671,96.17770090672444,0,0.9314504688949721,0.1,0.46572523444748604,2017-09-15 00:10:39.723264208,216.4818116462975,0
12085_2017-09-11 00:00:00,2017242N16333,12085,Martin,2017-09-11 00:00:00,116,162006,94195.0,252.958333333333,116,48.1410629919414,7799141.05107246,4.83333333333333,2017,9,37.03185366634624,9.850267564114263,74.38884041130352,986.8561755423184,140,140,95.52749110320278,0,2017-09-14 23:31:38.967971530,47.69537503705889,0,0.862073358458517,0.1,0.4310366792292585,2017-09-12 23:41:43.350133412,95.52749110320278,0
12117_2017-09-11 00:00:00,2017242N16333,12117,Seminole,2017-09-11 00:00:00,191,478772,211093.0,252.958333333333,191,69.9670086461089,33498244.6635148,7.95833333333333,2017,9,39.111801124271295,8.3751292106539,105.16330691784802,982.7114677526596,215,168,170.77504760177695,0,2017-09-18 02:46:30.171366397,114.12925994487361,0,0.7347898793422805,0.1,0.36739493967114023,2017-09-15 18:07:45.335801545,170.77504760177695,0
13025_2017-09-11 01:00:00,2017242N16333,13025,Brantley,2017-09-11 01:00:00,92,18183,1766.0,253.0,92,33.0695602116786,601303.813328953,3.83333333333333,2017,9,39.92872256000748,10.513872206902306,191.5469495517374,989.5152037513922,116,116,83.13443348296639,0,2017-09-14 12:08:03.960538679,38.97806354009055,0,1.0,0.1,0.5,2017-09-12 15:58:41.028744326,83.13443348296639,0
12121_2017-09-11 01:00:00,2017242N16333,12121,Suwannee,2017-09-11 01:00:00,161,45411,6348.0,253.0,161,73.9047928518712,3356090.54819632,6.70833333333333,2017,9,33.1387630368388,7.779667440071654,179.90478663637606,982.2636305414244,185,168,143.33488372093,0,2017-09-17 00:20:05.581395348,69.93928599375194,0,0.9922405876951331,0.1,0.49612029384756656,2017-09-13 22:56:21.429577507,143.33488372093,0
12095_2017-09-11 01:00:00,2017242N16333,12095,Orange,2017-09-11 01:00:00,173,1452726,382514.0,253.0,173,52.8478404184892,76773431.8197902,7.20833333333333,2017,9,42.50166494858325,8.438115913173633,110.70856601280633,981.2734645100504,197,168,125.77988229494028,0,2017-09-16 06:46:47.576261785,76.802581624905,0,0.6682119699189926,0.1,0.3341059849594963,2017-09-14 05:48:09.293849658,125.77988229494028,0
12023_2017-09-11 01:00:00,2017242N16333,12023,Columbia,2017-09-11 01:00:00,168,71908,31282.0,253.0,168,55.834276090648,4014931.12512632,7.0,2017,9,32.87210430150099,7.9906483990071635,205.68063264035155,981.6870075847592,192,168,114.51003861003834,0,2017-09-15 19:30:36.138996138,46.308448808727775,0,0.9705394190871369,0.1,0.48526970954356846,2017-09-12 23:18:30.415711420,114.51003861003834,0
12097_2017-09-11 01:00:00,2017242N16333,12097,Osceola,2017-09-11 01:00:00,160,422545,50236.0,253.0,160,31.2744575033316,13214865.6457453,6.66666666666667,2017,9,43.1111639458869,8.59143024477589,108.4173563652284,981.3335810396212,184,168,115.86670574443139,0,2017-09-15 20:52:00.140679953,64.21439296585278,0,0.42301177207441887,0.1,0.21150588603720943,2017-09-13 17:12:51.814677070,115.86670574443139,0
13101_2017-09-11 01:00:00,2017242N16333,13101,Echols,2017-09-11 01:00:00,109,3686,639.0,253.0,109,67.830985915493,250025.014084507,4.54166666666667,2017,9,33.81960398908974,9.275524319116707,174.11051694740166,983.88158325785,133,133,94.95263157894722,0,2017-09-14 23:57:09.473684210,71.60858585858584,0,1.0,0.1,0.5,2017-09-14 00:36:30.909090909,94.95263157894722,0
13229_2017-09-11 01:00:00,2017242N16333,13229,Pierce,2017-09-11 01:00:00,72,20168,4101.0,253.0,72,26.3660083105748,531749.655607673,3.0,2017,9,36.90234494698712,11.79347376363718,180.85125008395866,989.5404572947214,96,96,64.98810408921916,0,2017-09-13 17:59:17.174721189,24.62068965517222,0,1.0,0.1,0.5,2017-09-12 01:37:14.482758620,64.98810408921916,0
