event_id,CountyFIPS,storm,event_start,event_end,duration_hours,year,month,county_pop,pre_outage_tracked_customers,days_since_data_start,n_periods,integral,pop_hours_supply_lost,max_outage_raw,hours_above_thresh_raw,is_valid,peak_outage_clean,threshold_used_t90,t90_lastcross,censored_lastcross,crossing_time_lastcross,duration_days
12103_2017-09-11 00:00:00,12103,2017242N16333,2017-09-11 00:00:00,2017-09-18 00:00:00,168.0,2017,9,961739,541750.0,252.958333333333,168,68.8142949131587,66181391.1754863,1.0,121,True,0.7677729214282694,0.1,160.12296022437528,0,2017-09-17 16:07:22.656807751,7.0
12071_2017-09-11 00:00:00,12071,2017242N16333,2017-09-11 00:00:00,2017-09-21 00:00:00,240.0,2017,9,822453,260826.0,252.958333333333,240,97.1921323929368,79935960.862968,0.9365975784622699,181,True,0.9314504688949721,0.1,216.4818116462975,0,2017-09-20 00:28:54.521926671,10.0
12085_2017-09-11 00:00:00,12085,2017242N16333,2017-09-11 00:00:00,2017-09-15 20:00:00,116.0,2017,9,162006,94195.0,252.958333333333,116,48.1410629919414,7799141.05107246,0.8694941345082011,89,True,0.862073358458517,0.1,95.52749110320278,0,2017-09-14 23:31:38.967971530,4.83333333333333
12117_2017-09-11 00:00:00,12117,2017242N16333,2017-09-11 00:00:00,2017-09-18 23:00:00,191.0,2017,9,478772,211093.0,252.958333333333,191,69.9670086461089,33498244.6635148,0.7370732331247365,148,True,0.7347898793422805,0.1,170.77504760177695,0,2017-09-18 02:46:30.171366397,7.95833333333333
13025_2017-09-11 01:00:00,13025,2017242N16333,2017-09-11 01:00:00,2017-09-14 21:00:00,92.0,2017,9,18183,1766.0,253.0,92,33.0695602116786,601303.813328953,1.0,57,True,1.0,0.1,83.13443348296639,0,2017-09-14 12:08:03.960538679,3.83333333333333
12121_2017-09-11 01:00:00,12121,2017242N16333,2017-09-11 01:00:00,2017-09-17 18:00:00,161.0,2017,9,45411,6348.0,253.0,161,73.9047928518712,3356090.54819632,0.9938070553695124,126,True,0.9922405876951331,0.1,143.33488372093,0,2017-09-17 00:20:05.581395348,6.70833333333333
12095_2017-09-11 01:00:00,12095,2017242N16333,2017-09-11 01:00:00,2017-09-18 06:00:00,173.0,2017,9,1452726,382514.0,253.0,173,52.8478404184892,76773431.8197902,0.9991326896356412,120,True,0.6682119699189926,0.1,125.77988229494028,0,2017-09-16 06:46:47.576261785,7.20833333333333
12023_2017-09-11 01:00:00,12023,2017242N16333,2017-09-11 01:00:00,2017-09-18 01:00:00,168.0,2017,9,71908,31282.0,253.0,168,55.834276090648,4014931.12512632,0.9844877114586659,92,True,0.9705394190871369,0.1,114.51003861003834,0,2017-09-15 19:30:36.138996138,7.0
12097_2017-09-11 01:00:00,12097,2017242N16333,2017-09-11 01:00:00,2017-09-17 17:00:00,160.0,2017,9,422545,50236.0,253.0,160,31.2744575033316,13214865.6457453,1.0,84,True,0.42301177207441887,0.1,115.86670574443139,0,2017-09-15 20:52:00.140679953,6.66666666666667
13101_2017-09-11 01:00:00,13101,2017242N16333,2017-09-11 01:00:00,2017-09-15 14:00:00,109.0,2017,9,3686,639.0,253.0,109,67.830985915493,250025.014084507,1.0,85,True,1.0,0.1,94.95263157894722,0,2017-09-14 23:57:09.473684210,4.54166666666667
13229_2017-09-11 01:00:00,13229,2017242N16333,2017-09-11 01:00:00,2017-09-14 01:00:00,72.0,2017,9,20168,4101.0,253.0,72,26.3660083105748,531749.655607673,1.0,55,True,1.0,0.1,64.98810408921916,0,2017-09-13 17:59:17.174721189,3.0
12127_2017-09-11 01:00:00,12127,2017242N16333,2017-09-11 01:00:00,2017-09-18 20:00:00,187.0,2017,9,579192,261351.0,253.0,187,65.9369437972425,38190150.3518125,0.7520422726524865,133,True,0.7224537116751036,0.1,160.34128586609972,0,2017-09-17 17:20:28.629117959,7.79166666666667
12101_2017-09-11 01:00:00,12101,2017242N16333,2017-09-11 01:00:00,2017-09-16 17:00:00,136.0,2017,9,608794,250797.0,253.0,136,41.7020677359474,25387968.6252383,0.5905031125011277,111,True,0.5904701039454145,0.1,123.22296914803277,0,2017-09-16 04:13:22.688932918,5.66666666666667
12083_2017-09-11 01:00:00,12083,2017242N16333,2017-09-11 01:00:00,2017-09-19 06:00:00,197.0,2017,9,396415,138863.0,253.0,197,70.672581490682,28015671.3916287,0.7362508371560459,156,True,0.72406616593333,0.1,170.84503165022807,0,2017-09-18 03:50:42.113940821,8.20833333333333
12123_2017-09-11 02:00:00,12123,2017242N16333,2017-09-11 02:00:00,2017-09-16 17:00:00,135.0,2017,9,21283,1604.0,253.041666666667,135,45.961315901204,978194.686325324,1.0,111,True,0.7864824554517623,0.1,124.71715296198028,0,2017-09-16 06:43:01.750663129,5.625
12069_2017-09-11 03:00:00,12069,2017242N16333,2017-09-11 03:00:00,2017-09-19 18:00:00,207.0,2017,9,410139,149938.0,253.083333333333,207,60.752518202616,24916977.0631027,0.6853366057970628,119,True,0.6853366057970628,0.1,166.97565789473666,0,2017-09-18 01:58:32.368421052,8.625
12047_2017-09-11 03:00:00,12047,2017242N16333,2017-09-11 03:00:00,2017-09-17 04:00:00,145.0,2017,9,13217,3302.0,253.083333333333,145,60.7836148143837,803377.03700171,1.0,116,True,0.9104247104247104,0.1,132.12262872628722,0,2017-09-16 15:07:21.463414634,6.04166666666667
12017_2017-09-11 03:00:00,12017,2017242N16333,2017-09-11 03:00:00,2017-09-18 03:00:00,168.0,2017,9,162529,87665.0,253.083333333333,168,59.5509419809906,9678755.04922842,0.8228998680545374,116,True,0.7126903553299493,0.1,122.92148336376167,0,2017-09-16 05:55:17.340109542,7.0
12109_2017-09-11 03:00:00,12109,2017242N16333,2017-09-11 03:00:00,2017-09-17 22:00:00,163.0,2017,9,306841,106680.0,253.083333333333,163,48.7164072609951,14948191.120371,0.8361330358649394,114,True,0.8159039352068843,0.1,132.16413690476168,0,2017-09-16 15:09:50.892857142,6.79166666666667
12001_2017-09-11 03:00:00,12001,2017242N16333,2017-09-11 03:00:00,2017-09-16 17:00:00,134.0,2017,9,284030,120032.0,253.083333333333,134,29.2629568023201,8311557.62056297,0.5634320311852036,80,True,0.5485361200962097,0.1,113.54142678347917,0,2017-09-15 20:32:29.136420525,5.58333333333333
12019_2017-09-11 04:00:00,12019,2017242N16333,2017-09-11 04:00:00,2017-09-16 17:00:00,133.0,2017,9,226589,83949.0,253.125,133,38.1403132085061,8642175.42960219,0.8509845028647663,84,True,0.8346416361925408,0.1,91.00329557157555,0,2017-09-14 23:00:11.864057672,5.54166666666667
13039_2017-09-11 04:00:00,13039,2017242N16333,2017-09-11 04:00:00,2017-09-16 03:00:00,119.0,2017,9,57013,15790.0,253.125,119,53.2059394225794,3033430.22429952,1.0,88,True,1.0,0.1,115.49999999999972,0,2017-09-15 23:29:59.999999999,4.95833333333333
12119_2017-09-11 04:00:00,12119,2017242N16333,2017-09-11 04:00:00,2017-09-17 14:00:00,154.0,2017,9,144970,71787.0,253.125,154,25.9524392164142,3762325.11320357,0.3191107024948807,80,True,0.3188878209146503,0.1,122.47415824915805,0,2017-09-16 06:28:26.969696969,6.41666666666667
12053_2017-09-11 04:00:00,12053,2017242N16333,2017-09-11 04:00:00,2017-09-17 21:00:00,161.0,2017,9,206896,94931.0,253.125,161,35.6024426210731,7366002.96852954,0.5227586352192645,69,True,0.5227586352192645,0.1,113.29313647246583,0,2017-09-15 21:17:35.291300877,6.70833333333333
12007_2017-09-11 05:00:00,12007,2017242N16333,2017-09-11 05:00:00,2017-09-18 02:00:00,165.0,2017,9,27313,9842.0,253.166666666667,165,67.3680106754015,1840022.47557724,0.9691119691119691,134,True,0.968705547652916,0.1,151.98207547169807,0,2017-09-17 12:58:55.471698113,6.875
12031_2017-09-11 05:00:00,12031,2017242N16333,2017-09-11 05:00:00,2017-09-15 23:00:00,114.0,2017,9,1016536,441262.0,253.166666666667,114,29.6208022314269,30110611.8171258,0.5839755071909131,84,True,0.5683210333356733,0.1,105.82212259297361,0,2017-09-15 14:49:19.641334705,4.75
13049_2017-09-11 06:00:00,13049,2017242N16333,2017-09-11 06:00:00,2017-09-15 20:00:00,110.0,2017,9,12781,2565.0,253.208333333333,110,53.2384569068619,680440.717726602,1.0,82,True,0.9957627118644068,0.1,103.03333333333333,0,2017-09-15 13:02:00.000000000,4.58333333333333
13275_2017-09-11 06:00:00,13275,2017242N16333,2017-09-11 06:00:00,2017-09-13 21:00:00,63.0,2017,9,45561,2814.0,253.208333333333,63,20.5906301737732,938129.701347279,0.9016152716593245,40,True,0.7529650965774314,0.1,61.445997088791664,0,2017-09-13 19:26:45.589519650,2.625
12003_2017-09-11 07:00:00,12003,2017242N16333,2017-09-11 07:00:00,2017-09-18 01:00:00,162.0,2017,9,27803,9130.0,253.25,162,63.8119362130248,1774163.26253073,0.9949664429530202,129,True,0.9601716257811771,0.1,137.23333333333332,0,2017-09-17 00:14:00.000000000,6.75
12073_2017-09-11 07:00:00,12073,2017242N16333,2017-09-11 07:00:00,2017-09-13 19:00:00,60.0,2017,9,297369,24516.0,253.25,60,17.2734090825562,5136576.38547066,0.6119336025123374,38,True,0.6116073249316857,0.1,45.889243027888334,0,2017-09-13 04:53:21.274900398,2.5
13005_2017-09-11 07:00:00,13005,2017242N16333,2017-09-11 07:00:00,2017-09-14 00:00:00,65.0,2017,9,11191,2215.0,253.25,65,18.2074324532662,203759.376584502,1.0,31,True,0.6887363746467501,0.1,54.21212121212111,0,2017-09-13 13:12:43.636363636,2.70833333333333
13161_2017-09-11 08:00:00,13161,2017242N16333,2017-09-11 08:00:00,2017-09-15 13:00:00,101.0,2017,9,14889,2638.0,253.291666666667,101,42.1348036304982,627345.091254488,1.0,86,True,1.0,0.1,98.17636560080528,0,2017-09-15 10:10:34.916162899,4.20833333333333
13001_2017-09-11 08:00:00,13001,2017242N16333,2017-09-11 08:00:00,2017-09-15 12:00:00,100.0,2017,9,18428,3816.0,253.291666666667,100,39.0010910025397,718712.104994802,1.0,71,True,1.0,0.1,74.659226761675,0,2017-09-14 10:39:33.216342030,4.16666666666667
12039_2017-09-11 08:00:00,12039,2017242N16333,2017-09-11 08:00:00,2017-09-13 20:00:00,60.0,2017,9,43403,14999.0,253.291666666667,60,21.3854902216648,928194.432090917,0.6395759717314488,52,True,0.6244416294419628,0.1,57.285185185185,0,2017-09-13 17:17:06.666666666,2.5
13027_2017-09-11 09:00:00,13027,2017242N16333,2017-09-11 09:00:00,2017-09-15 02:00:00,89.0,2017,9,16253,922.0,253.333333333333,89,55.4066484354277,900524.257021007,0.9913232104121475,82,True,0.938177874186551,0.1,84.82966101694889,0,2017-09-14 21:49:46.779661016,3.70833333333333
13003_2017-09-11 09:00:00,13003,2017242N16333,2017-09-11 09:00:00,2017-09-15 22:00:00,109.0,2017,9,8183,2563.0,253.333333333333,109,49.0591194378219,401450.774359696,1.0,81,True,0.8965593295103661,0.1,105.46499999999972,0,2017-09-15 18:27:53.999999999,4.54166666666667
13069_2017-09-11 09:00:00,13069,2017242N16333,2017-09-11 09:00:00,2017-09-15 22:00:00,109.0,2017,9,43172,3424.0,253.333333333333,109,56.1052968465539,2422177.87545943,1.0,89,True,1.0,0.1,97.25356645731888,0,2017-09-15 10:15:12.839246348,4.54166666666667
13293_2017-09-11 10:00:00,13293,2017242N16333,2017-09-11 10:00:00,2017-09-14 06:00:00,68.0,2017,9,28086,9585.0,253.375,68,14.3618570150057,403367.116123451,0.5667955965486462,47,True,0.450469992769342,0.1,58.20965517241361,0,2017-09-13 20:12:34.758620689,2.83333333333333
