event_id,storm,CountyFIPS,county,event_start,duration_hours,county_pop,pre_outage_tracked_customers,days_since_data_start,n_periods,integral,pop_hours_supply_lost,duration_days,year,month,max_gust,mean_gust_7d,total_precip_7d,pressure_min_7d,weather_hours_available,weather_hours_used,min_dist_to_storm_km,matched_ibtracs_storm,county_gdp_real_2017_dollars,county_gdp_real_2017_per_capita
12073_2018-10-10 18:00:00,2018280N18273,12073,Leon,2018-10-10 18:00:00,146,297369,137723.0,647.708333333333,146,62.9065948548324,18706471.2053867,6.08333333333333,2018,10,28.78086651039685,6.87614252830526,52.50939945099671,991.5406596838126,170,168,87.27148430582157,2018280N18273,14998216000.0,50436.38038934791
12133_2018-10-10 18:00:00,2018280N18273,12133,Washington,2018-10-10 18:00:00,413,25414,9886.0,647.708333333333,413,150.650666290381,3828636.03310375,17.2083333333333,2018,10,24.16638381107558,6.379249108581416,51.598771674609665,987.7447127423262,437,168,52.17427046749951,2018280N18273,563071000.0,22155.937672149208
13131_2018-10-10 19:00:00,2018280N18273,13131,Grady,2018-10-10 19:00:00,247,26008,9073.0,647.75,247,129.357738947609,3364336.07454941,10.2916666666667,2018,10,30.102382582311204,7.101702166999093,60.62635129150123,987.9350299451283,271,168,67.86979643177915,2018280N18273,609844000.0,23448.323592740697
13275_2018-10-10 19:00:00,2018280N18273,13275,Thomas,2018-10-10 19:00:00,144,45561,8914.0,647.75,144,51.8602025288176,2362802.68741546,6.0,2018,10,29.478503156591348,7.152482000829051,44.58040781405375,991.294648148148,168,168,89.68083230504651,2018280N18273,2131697000.0,46787.75707293519
12065_2018-10-10 19:00:00,2018280N18273,12065,Jefferson,2018-10-10 19:00:00,53,15042,8167.0,647.75,53,23.8644545120607,358969.124770417,2.20833333333333,2018,10,26.891825943850403,10.207109474215848,39.167733178332,994.7990300210674,77,77,118.84459547899976,2018280N18273,241506000.0,16055.444754686876
13259_2018-10-10 19:00:00,2018280N18273,13259,Stewart,2018-10-10 19:00:00,106,4648,1816.0,647.75,106,51.3909220855797,238865.005853775,4.41666666666667,2018,10,22.49237419179168,7.545448577987565,90.9841704211237,988.3361197339248,130,130,71.56692771950213,2018280N18273,123588000.0,26589.500860585198
01069_2018-10-10 20:00:00,2018280N18273,01069,Houston,2018-10-10 20:00:00,151,108079,28005.0,647.791666666667,151,53.9730501971308,5833353.2922557,6.29166666666667,2018,10,23.03112852452165,6.395429772316592,57.096510807494234,985.6874469014832,175,168,39.16437637293852,2018280N18273,5441082000.0,50343.56350447358
12079_2018-10-10 20:00:00,2018280N18273,12079,Madison,2018-10-10 20:00:00,26,18198,9285.0,647.791666666667,26,2.83004846526656,51501.2219709208,1.08333333333333,2018,10,24.640469462184583,12.382357874186026,21.372192828011,997.9494468352756,50,50,152.91270639280242,2018280N18273,440297000.0,24194.80162655237
13253_2018-10-10 20:00:00,2018280N18273,13253,Seminole,2018-10-10 20:00:00,196,9127,1729.0,647.791666666667,196,142.795835743204,1303297.59282822,8.16666666666667,2018,10,25.64082348932985,6.4588058724894735,68.04234380490283,983.1117257940572,220,168,9.729843653652036,2018280N18273,282716000.0,30975.7861290676
13037_2018-10-10 21:00:00,2018280N18273,13037,Calhoun,2018-10-10 21:00:00,195,5469,2436.0,647.833333333333,195,111.722014833577,611007.699124832,8.125,2018,10,26.117301900191663,6.5831527806726315,98.77809690265153,983.1277991548044,219,168,12.261455889009575,2018280N18273,116594000.0,21319.071128176998
