event_id,CountyFIPS,storm,n,mae,rmse,forecast_horizon_hours
12055_2022-09-28 23:00:00,12055,2022263N10313,82.0,0.4085671999980795,0.4311967021666282,48
12125_2017-09-10 11:00:00,12125,2017242N16333,97.0,0.4771346945345731,0.5130622078841683,48
12131_2018-10-10 17:00:00,12131,2018280N18273,20.0,0.48101084055486354,0.5048801015123063,48
12079_2017-09-10 02:00:00,12079,2017242N16333,88.0,0.5174601465780827,0.5544799931650451,48
12065_2018-10-10 19:00:00,12065,2018280N18273,17.0,0.5791888446329921,0.6056096527365445,48
12013_2021-08-16 21:00:00,12013,2021222N14301,8.0,0.7015508021390374,0.7316932734894659,48
12013_2020-09-12 22:00:00,12013,2020256N25281,52.0,0.02960188050695702,0.05515605431332942,72
12075_2017-07-30 21:00:00,12075,2017212N28275,26.0,0.08231603563712502,0.26256009032489264,72
12043_2017-09-11 22:00:00,12043,2017242N16333,178.0,0.08294965902812768,0.12101611256084002,72
12005_2018-10-10 17:00:00,12005,2018280N18273,444.0,0.13002082535582715,0.1595754990788081,72
12119_2017-09-11 04:00:00,12119,2017242N16333,94.0,0.14023950431491175,0.15605906964488442,72
12095_2022-09-29 04:00:00,12095,2022263N10313,10.0,0.15978806228223807,0.17003862616599966,72
12105_2017-09-10 23:00:00,12105,2017242N16333,132.0,0.16071509269592224,0.17716462925770204,72
12037_2017-09-09 19:00:00,12037,2017242N16333,62.0,0.16122707767423178,0.16974008839037907,72
12097_2017-09-11 01:00:00,12097,2017242N16333,100.0,0.181408448783903,0.22499560216871767,72
12009_2022-09-29 07:00:00,12009,2022263N10313,2.0,0.1829213673558321,0.18529777485822935,72
12133_2018-10-10 18:00:00,12133,2018280N18273,353.0,0.18327779435637903,0.28461524359686763,72
12063_2018-10-09 00:00:00,12063,2018280N18273,493.0,0.19095429982492576,0.31091843621711623,72
12015_2017-09-11 00:00:00,12015,2017242N16333,128.0,0.1939027462016391,0.20312400806232156,72
12001_2017-09-11 03:00:00,12001,2017242N16333,74.0,0.20850858003722256,0.22985031783228954,72
12045_2018-10-10 15:00:00,12045,2018280N18273,454.0,0.2157490392180417,0.25990824472457924,72
12013_2018-10-10 18:00:00,12013,2018280N18273,451.0,0.2231439523549048,0.3487133349978134,72
12053_2017-09-11 04:00:00,12053,2017242N16333,101.0,0.2313254013893788,0.2645465421766685,72
12039_2018-10-10 16:00:00,12039,2018280N18273,285.0,0.2330125553866082,0.24765595214929179,72
12113_2020-09-16 09:00:00,12113,2020256N25281,26.0,0.23736856285111504,0.25697207848716735,72
12077_2018-10-10 13:00:00,12077,2018280N18273,328.0,0.2381709742907235,0.25908654383767316,72
12069_2017-09-11 03:00:00,12069,2017242N16333,147.0,0.24509822606410295,0.28560730950956953,72
12115_2022-09-28 15:00:00,12115,2022263N10313,144.0,0.25165837309670075,0.26635494620695754,72
12101_2017-09-11 01:00:00,12101,2017242N16333,76.0,0.2536227089513101,0.2779642149264888,72
12071_2017-09-11 00:00:00,12071,2017242N16333,180.0,0.26611427973239526,0.2871364992786173,72
12095_2017-09-11 01:00:00,12095,2017242N16333,113.0,0.2668213008206203,0.2879427567995697,72
12031_2017-09-11 05:00:00,12031,2017242N16333,54.0,0.2693730865050565,0.28274696527190224,72
12129_2017-09-10 18:00:00,12129,2017242N16333,47.0,0.2694580087685804,0.3036977305613993,72
12071_2022-09-28 14:00:00,12071,2022263N10313,203.0,0.27008706221253365,0.27779831478923056,72
12033_2020-09-16 04:00:00,12033,2020256N25281,57.0,0.2732894105696441,0.2853745111130033,72
12051_2022-09-27 17:00:00,12051,2022263N10313,136.0,0.2743327469354377,0.2972582274187715,72
12059_2018-10-10 16:00:00,12059,2018280N18273,161.0,0.27576685880895474,0.3239300385839221,72
12086_2017-09-10 06:00:00,12086,2017242N16333,150.0,0.27619601381018094,0.3059236591560079,72
12021_2017-09-10 14:00:00,12021,2017242N16333,203.0,0.2797510951613375,0.3046099155734337,72
12027_2022-09-28 14:00:00,12027,2022263N10313,164.0,0.28007859621793,0.3386878102098403,72
12117_2017-09-11 00:00:00,12117,2017242N16333,131.0,0.28370735176790923,0.3031851425351679,72
12081_2022-09-28 15:00:00,12081,2022263N10313,92.0,0.285404346951181,0.3008062766369698,72
12109_2017-09-11 03:00:00,12109,2017242N16333,103.0,0.2857715449465151,0.314506382658497,72
12015_2022-09-28 16:00:00,12015,2022263N10313,168.0,0.2880403068711289,0.31156044916005005,72
12083_2017-09-11 01:00:00,12083,2017242N16333,137.0,0.290672703939614,0.3155178995165886,72
12127_2017-09-11 01:00:00,12127,2017242N16333,127.0,0.29071316169390227,0.3046120163267212,72
12051_2017-09-10 16:00:00,12051,2017242N16333,240.0,0.29601604797633113,0.3306318383177905,72
12011_2017-09-10 06:00:00,12011,2017242N16333,118.0,0.3016861456935736,0.3248889957038999,72
12035_2017-09-11 00:00:00,12035,2017242N16333,130.0,0.3312384884218805,0.35186932567650187,72
12107_2017-09-10 18:00:00,12107,2017242N16333,147.0,0.3359078222427709,0.35713232493875074,72
12019_2017-09-11 04:00:00,12019,2017242N16333,73.0,0.3403886199531008,0.3676490399836226,72
12007_2017-09-11 05:00:00,12007,2017242N16333,105.0,0.3445428305341336,0.37523755937397635,72
12021_2022-09-28 13:00:00,12021,2022263N10313,105.0,0.34764332820449556,0.36681546884647903,72
12003_2017-09-11 07:00:00,12003,2017242N16333,102.0,0.3507037235036047,0.3669062543285953,72
12105_2022-09-28 23:00:00,12105,2022263N10313,36.0,0.3513436731991526,0.36794661566588294,72
12017_2017-09-11 03:00:00,12017,2017242N16333,108.0,0.3528481982965111,0.3802987174013953,72
12123_2017-09-11 02:00:00,12123,2017242N16333,75.0,0.35322227249959975,0.3954057310602136,72
12103_2017-09-11 00:00:00,12103,2017242N16333,108.0,0.3587706721716933,0.4029296076085266,72
12055_2017-09-10 22:00:00,12055,2017242N16333,159.0,0.3590299859265864,0.42241987446342477,72
12049_2017-09-10 21:00:00,12049,2017242N16333,115.0,0.36719717942213376,0.3942585066453171,72
12111_2017-09-10 14:00:00,12111,2017242N16333,71.0,0.36942698114799477,0.3961393989729578,72
12099_2017-09-10 14:00:00,12099,2017242N16333,87.0,0.369439624994822,0.3852540153478847,72
12041_2017-09-10 19:00:00,12041,2017242N16333,113.0,0.37805895173785875,0.4136105092266196,72
12029_2017-09-10 22:00:00,12029,2017242N16333,107.0,0.3840129135073056,0.4051902270796478,72
12047_2017-09-11 03:00:00,12047,2017242N16333,85.0,0.4035750814234251,0.4306781315057871,72
12093_2017-09-10 16:00:00,12093,2017242N16333,115.0,0.40784844326323644,0.42468387646065425,72
12023_2017-09-11 01:00:00,12023,2017242N16333,108.0,0.41115192355933833,0.48296006360436045,72
12127_2022-09-29 00:00:00,12127,2022263N10313,59.0,0.4143454260220209,0.4501090852983279,72
12121_2017-09-11 01:00:00,12121,2017242N16333,101.0,0.4366218719266295,0.46383781342737307,72
12075_2017-09-09 22:00:00,12075,2017242N16333,130.0,0.43670560932418107,0.46138841606257,72
