event_id,storm,CountyFIPS,county,event_start,duration_hours,county_pop,pre_outage_tracked_customers,days_since_data_start,n_periods,integral,pop_hours_supply_lost,duration_days,year,month,max_gust,mean_gust_7d,total_precip_7d,pressure_min_7d,weather_hours_available,weather_hours_used
37109_2018-10-11 19:00:00,2018280N18273,37109,Lincoln,2018-10-11 19:00:00,26,93095,34558.0,648.75,26,3.26448289831587,303907.035418716,1.08333333333333,2018,10,19.376168483163603,8.16045010412893,50.56713956006723,994.4420924211876,50,50
37059_2018-10-11 19:00:00,2018280N18273,37059,Davie,2018-10-11 19:00:00,46,44090,21372.0,648.75,46,6.68870484746397,294904.996724687,1.91666666666667,2018,10,20.69095699402065,7.464903664202684,74.69928351669378,994.5022497852236,70,70
51019_2018-10-11 20:00:00,2018280N18273,51019,Bedford,2018-10-11 20:00:00,26,80848,35228.0,648.791666666667,26,1.87975474054729,151974.411263767,1.08333333333333,2018,10,16.867181622810914,9.553797770345039,61.603046180546706,998.2910944041566,50,50
51089_2018-10-11 20:00:00,2018280N18273,51089,Henry,2018-10-11 20:00:00,70,49906,27349.0,648.791666666667,70,12.3872400665008,618197.602758789,2.91666666666667,2018,10,20.358133805336124,7.101498120260159,83.35316710112143,995.3150612381232,94,94
37119_2018-10-11 20:00:00,2018280N18273,37119,Mecklenburg,2018-10-11 20:00:00,27,1145392,491293.0,648.791666666667,27,2.05388027103989,2352498.03140692,1.125,2018,10,19.771237652642387,8.206323040132762,56.95936627120577,992.1026948939732,51,51
51141_2018-10-11 20:00:00,2018280N18273,51141,Patrick,2018-10-11 20:00:00,53,17643,12006.0,648.791666666667,53,15.812946380097,278987.812984052,2.20833333333333,2018,10,21.304583717158703,9.019683532985496,58.810281151789454,996.8830589851136,77,77
37159_2018-10-11 20:00:00,2018280N18273,37159,Rowan,2018-10-11 20:00:00,73,149645,67617.0,648.791666666667,73,12.1438815420014,1817271.1533528,3.04166666666667,2018,10,21.121646597393948,6.3464294485289425,71.89017517482161,993.194332437276,97,97
37057_2018-10-11 20:00:00,2018280N18273,37057,Davidson,2018-10-11 20:00:00,74,172586,60390.0,648.791666666667,74,14.5677797453457,2514194.83513023,3.08333333333333,2018,10,21.67843029658,6.409734601374388,78.07223635570458,992.8074540364584,98,98
37067_2018-10-11 20:00:00,2018280N18273,37067,Forsyth,2018-10-11 20:00:00,51,389157,181247.0,648.791666666667,51,6.50090154781759,2529871.34364405,2.125,2018,10,20.79068278344933,7.250702346488473,83.09673827933372,994.0851173762078,75,75
51035_2018-10-11 20:00:00,2018280N18273,51035,Carroll,2018-10-11 20:00:00,24,29147,18404.0,648.791666666667,24,3.08998043903499,90063.6598565529,1.0,2018,10,19.953931882267906,11.800074358702338,34.86498047797275,999.1407641989088,48,48
37169_2018-10-11 20:00:00,2018280N18273,37169,Stokes,2018-10-11 20:00:00,52,45175,24877.0,648.791666666667,52,10.6184433268995,479688.177292683,2.16666666666667,2018,10,21.370449548886143,7.723698336478564,75.35193781579228,995.2556105324074,76,76
37157_2018-10-11 20:00:00,2018280N18273,37157,Rockingham,2018-10-11 20:00:00,104,91957,49385.0,648.791666666667,104,35.879099546963,3299334.35704007,4.33333333333333,2018,10,20.247304142955244,6.44384004814467,93.44237100867447,993.3764540378008,128,128
51143_2018-10-11 21:00:00,2018280N18273,51143,Pittsylvania,2018-10-11 21:00:00,130,59952,15782.0,648.833333333333,130,33.3824933131545,2001347.23911024,5.41666666666667,2018,10,19.52036614059608,6.642760469687016,101.69551606430937,994.4784279109184,154,154
51083_2018-10-11 21:00:00,2018280N18273,51083,Halifax,2018-10-11 21:00:00,133,33644,15549.0,648.833333333333,133,36.1448549830778,1216057.50105067,5.54166666666667,2018,10,20.054775130073978,6.5710356168945765,110.17816017932786,991.9467165822696,157,157
37151_2018-10-11 21:00:00,2018280N18273,37151,Randolph,2018-10-11 21:00:00,71,146043,63127.0,648.833333333333,71,13.2995295669258,1942303.19654255,2.95833333333333,2018,10,21.90632285030994,6.860427020627208,63.60199787319238,991.075643534994,95,95
37081_2018-10-11 21:00:00,2018280N18273,37081,Guilford,2018-10-11 21:00:00,93,546101,213865.0,648.833333333333,93,24.1582954335849,13192869.2945761,3.875,2018,10,20.90037885037336,6.447565084165534,84.60387756349517,992.0442934348366,117,117
37185_2018-10-11 21:00:00,2018280N18273,37185,Warren,2018-10-11 21:00:00,72,18713,5887.0,648.833333333333,72,16.2252968607181,303623.980154618,3.0,2018,10,24.11757175640964,7.461919570752401,58.08911818641763,990.7160615604122,96,96
37137_2018-10-11 21:00:00,2018280N18273,37137,Pamlico,2018-10-11 21:00:00,24,12381,8584.0,648.833333333333,24,6.32945013979497,78364.9221808015,1.0,2018,10,23.921030898445878,11.84744631811303,3.3488921840286974,995.083114949614,48,48
51067_2018-10-11 21:00:00,2018280N18273,51067,Franklin,2018-10-11 21:00:00,42,55074,32147.0,648.833333333333,42,2.82005578347693,155311.752219209,1.75,2018,10,18.62586333259704,9.702385255345094,62.89989632559279,997.4680294105488,66,66
51111_2018-10-11 22:00:00,2018280N18273,51111,Lunenburg,2018-10-11 22:00:00,123,12031,3803.0,648.875,123,47.8775243470058,576014.495418827,5.125,2018,10,22.306361136498392,6.554333399493397,138.9050949264108,992.5450970643942,147,147
51049_2018-10-11 22:00:00,2018280N18273,51049,Cumberland,2018-10-11 22:00:00,111,9746,4983.0,648.875,111,36.3803951210826,354563.330850071,4.625,2018,10,19.562650949603707,6.427155329377533,110.62696792599874,996.2837291829936,135,135
51149_2018-10-11 22:00:00,2018280N18273,51149,Prince George,2018-10-11 22:00:00,43,43134,5918.0,648.875,43,10.7284555593106,462761.202095302,1.79166666666667,2018,10,22.35912043128917,8.18067378935471,80.20127787607802,989.6410191993464,67,67
51147_2018-10-11 22:00:00,2018280N18273,51147,Prince Edward,2018-10-11 22:00:00,122,21927,9674.0,648.875,122,52.6747831800911,1154999.97078986,5.08333333333333,2018,10,21.025073934670807,6.414563045514807,140.06606628749725,994.4231212895778,146,146
37135_2018-10-11 22:00:00,2018280N18273,37135,Orange,2018-10-11 22:00:00,67,150477,56268.0,648.875,67,13.7643121968949,2071212.40645215,2.79166666666667,2018,10,23.66982068230124,7.214073867280019,70.93266664401574,990.3245545955884,91,91
